task_id,device_id,decision,arrival_time_s,queue_enter_time_s,start_time_s,end_time_s,queue_delay_ms,proc_delay_ms,tx_delay_ms,total_latency_ms,energy_j,deadline_ms,status,drop_reason,sla_violation
task_132_0,dev_132,offload,5.3382000000000005,5.3382000000000005,,,8.000000000000007,0.0,7.9778005466228805,,0.0,2.0,drop,deadline_miss,
task_165_3,dev_165,offload,5.4331000000000005,5.4331000000000005,,,3.8000000000000256,0.0,3.8113914986829402,,0.0,2.5,drop,deadline_miss,
task_79_1,dev_79,offload,5.4424,5.4424,,,12.199999999999989,0.0,12.246598026444511,,0.0,1.8000000000000003,drop,deadline_miss,
task_141_0,dev_141,offload,5.4504,5.4504,,,12.100000000000222,0.0,12.138961686426752,,0.0,3.0,drop,deadline_miss,
task_168_0,dev_168,offload,5.5297,5.5297,,,4.000000000000448,0.0,4.0295917386032425,,0.0,1.0,drop,deadline_miss,
task_135_1,dev_135,offload,5.6046000000000005,5.6046000000000005,,,3.8999999999997925,0.0,3.885450037515802,,0.0,1.6,drop,deadline_miss,
task_161_0,dev_161,offload,5.6448,5.6448,,,3.3000000000003027,0.0,3.3311544030772784,,0.0,1.8000000000000003,drop,deadline_miss,
task_153_1,dev_153,offload,6.109500000000001,6.109500000000001,,,7.899999999999352,0.0,7.933169276507031,,0.0,2.5,drop,deadline_miss,
task_2_0,dev_2,offload,6.1139,6.1139,,,7.90000000000024,0.0,7.937133661606709,,0.0,2.0,drop,deadline_miss,
task_182_0,dev_182,offload,6.3081000000000005,6.3081000000000005,,,7.600000000000051,0.0,7.585831424809983,,0.0,2.0,drop,deadline_miss,
task_74_1,dev_74,offload,6.9249,6.9249,,,8.900000000000574,0.0,8.851737819801727,,0.0,1.2000000000000002,drop,deadline_miss,
task_15_0,dev_15,offload,7.092300000000001,7.092300000000001,,,7.199999999999207,0.0,7.182897382042359,,0.0,2.0,drop,deadline_miss,
task_178_0,dev_178,offload,7.159000000000001,7.159000000000001,,,9.699999999999598,0.0,9.67925841346133,,0.0,1.0,drop,deadline_miss,
task_112_1,dev_112,offload,7.1607,7.1607,,,7.800000000000473,0.0,7.769702748084272,,0.0,1.3000000000000003,drop,deadline_miss,
task_158_0,dev_158,offload,7.2312,7.2312,,,9.599999999999831,0.0,9.563228970176382,,0.0,1.4,drop,deadline_miss,
task_18_0,dev_18,offload,7.2586,7.2586,,,10.500000000000398,0.0,10.504125159614254,,0.0,2.8,drop,deadline_miss,
task_176_0,dev_176,offload,7.4017,7.4017,,,8.300000000000196,0.0,8.332525283078748,,0.0,1.7000000000000002,drop,deadline_miss,
task_93_0,dev_93,drop,7.5521,7.5521,,,,0.0,,,0.0,1.1,drop,link_capacity,
task_37_0,dev_37,offload,7.681,7.681,,,9.600000000000719,0.0,9.559761118101157,,0.0,1.6,drop,deadline_miss,
task_34_0,dev_34,offload,7.7476,7.7476,,,6.700000000000372,0.0,6.7052426635980735,,0.0,2.3,drop,deadline_miss,
task_54_0,dev_54,offload,7.819100000000001,7.819100000000001,,,8.49999999999973,0.0,8.451361270256443,,0.0,2.8,drop,deadline_miss,
task_130_0,dev_130,drop,7.8695,7.8695,,,,0.0,,,0.0,1.1,drop,link_capacity,
task_157_0,dev_157,offload,8.3983,8.3983,,,5.599999999999383,0.0,5.581074539061374,,0.0,2.5,drop,deadline_miss,
task_138_1,dev_138,offload,8.499500000000001,8.499500000000001,,,9.399999999999409,0.0,9.42560029199997,,0.0,1.8000000000000003,drop,deadline_miss,
task_31_0,dev_31,offload,8.7049,8.7049,,,6.999999999999673,0.0,7.044843632928574,,0.0,1.1,drop,deadline_miss,
task_52_0,dev_52,offload,9.3119,9.3119,,,5.300000000000082,0.0,5.332488329442393,,0.0,2.3,drop,deadline_miss,
task_172_0,dev_172,offload,9.3651,9.3651,,,7.799999999999585,0.0,7.820968154518991,,0.0,2.2,drop,deadline_miss,
task_25_0,dev_25,offload,9.397300000000001,9.397300000000001,,,3.6999999999984823,0.0,3.7090021220332234,,0.0,1.1,drop,deadline_miss,
task_34_1,dev_34,offload,9.622,9.622,,,3.200000000001424,0.0,3.2334190387307506,,0.0,2.4000000000000004,drop,deadline_miss,
task_195_0,dev_195,offload,9.6401,9.6401,,,10.19999999999932,0.0,10.214713808860985,,0.0,1.4,drop,deadline_miss,
task_61_0,dev_61,offload,9.668000000000001,9.668000000000001,,,3.9999999999995595,0.0,3.951944396372499,,0.0,1.7000000000000002,drop,deadline_miss,
task_141_1,dev_141,offload,9.718,9.718,,,3.8999999999997925,0.0,3.919235166369605,,0.0,2.3,drop,deadline_miss,
task_104_0,dev_104,drop,9.7986,9.7986,,,,0.0,,,0.0,2.3,drop,link_capacity,
task_195_1,dev_195,offload,9.854700000000001,9.854700000000001,,,9.69999999999871,0.0,9.65603012857899,,0.0,1.0,drop,deadline_miss,
task_120_0,dev_120,offload,10.0405,10.0405,,,0.0,0.0,0.0,,0.0,1.7000000000000002,drop,deadline_miss,
task_10_0,dev_10,offload,10.1053,10.1053,,,7.500000000000284,0.0,7.486601393677273,,0.0,2.4000000000000004,drop,deadline_miss,
task_191_0,dev_191,offload,10.1479,10.1479,,,7.400000000000517,0.0,7.409832358426196,,0.0,2.0,drop,deadline_miss,
task_115_0,dev_115,offload,10.2842,10.2842,,,3.8000000000000256,0.0,3.788294424699849,,0.0,1.2000000000000002,drop,deadline_miss,
task_172_1,dev_172,offload,10.3454,10.3454,,,7.800000000001361,0.0,7.758102598255131,,0.0,1.6,drop,deadline_miss,
task_119_1,dev_119,offload,10.446,10.446,,,10.300000000000864,0.0,10.34684896909239,,0.0,1.2000000000000002,drop,deadline_miss,
task_23_0,dev_23,offload,10.511000000000001,10.511000000000001,,,6.800000000000139,0.0,6.789903166707508,,0.0,2.6000000000000005,drop,deadline_miss,
task_37_1,dev_37,offload,10.7734,10.7734,,,9.999999999999787,0.0,9.999487134046502,,0.0,2.3,drop,deadline_miss,
task_9_0,dev_9,offload,10.860800000000001,10.860800000000001,,,7.399999999998741,0.0,7.3567277634789034,,0.0,2.2,drop,deadline_miss,
task_43_1,dev_43,offload,11.110000000000001,11.110000000000001,,,7.399999999998741,0.0,7.408664393568717,,0.0,1.9,drop,deadline_miss,
task_160_0,dev_160,offload,11.142100000000001,11.142100000000001,,,8.099999999998886,0.0,8.091484345338284,,0.0,1.5,drop,deadline_miss,
task_116_0,dev_116,offload,11.4587,11.4587,,,8.900000000000574,0.0,8.907324712600966,,0.0,2.3,drop,deadline_miss,
task_24_0,dev_24,offload,11.5134,11.5134,,,9.499999999999176,0.0,9.495456770115215,,0.0,1.5,drop,deadline_miss,
task_108_0,dev_108,offload,11.671700000000001,11.671700000000001,,,3.5999999999987153,0.0,3.6216606713377124,,0.0,2.4000000000000004,drop,deadline_miss,
task_128_0,dev_128,offload,11.8177,11.8177,,,3.8000000000000256,0.0,3.7586827039877044,,0.0,1.7000000000000002,drop,deadline_miss,
task_195_2,dev_195,offload,11.8314,11.8314,,,3.8999999999997925,0.0,3.86454793593939,,0.0,1.7000000000000002,drop,deadline_miss,
task_23_1,dev_23,offload,11.8747,11.8747,,,8.300000000000196,0.0,8.312470525352596,,0.0,1.2000000000000002,drop,deadline_miss,
task_132_1,dev_132,offload,11.929300000000001,11.929300000000001,,,8.399999999999963,0.0,8.432157693697048,,0.0,1.4,drop,deadline_miss,
task_197_0,dev_197,offload,11.9449,11.9449,,,9.499999999999176,0.0,9.482044980957772,,0.0,1.1,drop,deadline_miss,
task_175_0,dev_175,offload,12.052100000000001,12.052100000000001,,,3.8000000000000256,0.0,3.831236795491003,,0.0,2.5,drop,deadline_miss,
task_45_0,dev_45,offload,12.2248,12.2248,,,4.000000000001336,0.0,4.003369563426652,,0.0,2.5,drop,deadline_miss,
task_115_1,dev_115,offload,12.274700000000001,12.274700000000001,,,4.400000000000404,0.0,4.353759309786857,,0.0,1.7000000000000002,drop,deadline_miss,
task_129_0,dev_129,offload,12.358400000000001,12.358400000000001,,,6.499999999999062,0.0,6.522193650809014,,0.0,2.7,drop,deadline_miss,
task_155_1,dev_155,offload,12.4327,12.4327,,,3.8999999999997925,0.0,3.8735481350842713,,0.0,1.4,drop,deadline_miss,
task_63_1,dev_63,offload,12.454400000000001,12.454400000000001,,,6.399999999999295,0.0,6.4038380254487395,,0.0,2.2,drop,deadline_miss,
task_102_0,dev_102,offload,12.7436,12.7436,,,7.600000000000051,0.0,7.591101441366414,,0.0,2.4000000000000004,drop,deadline_miss,
task_157_1,dev_157,offload,12.911200000000001,12.911200000000001,,,10.999999999999233,0.0,10.9920251758433,,0.0,1.4,drop,deadline_miss,
task_21_0,dev_21,offload,13.297500000000001,13.297500000000001,,,10.099999999999554,0.0,10.141972602677907,,0.0,2.5,drop,deadline_miss,
task_174_0,dev_174,offload,13.609200000000001,13.609200000000001,,,3.0999999999998806,0.0,3.1202619189351717,,0.0,2.3,drop,deadline_miss,
task_27_0,dev_27,offload,13.7116,13.7116,,,5.499999999999616,0.0,5.511758452621228,,0.0,2.0,drop,deadline_miss,
task_86_0,dev_86,offload,13.9131,13.9131,,,8.300000000000196,0.0,8.293153441657964,,0.0,2.6000000000000005,drop,deadline_miss,
task_84_0,dev_84,offload,14.053,14.053,,,9.800000000000253,0.0,9.83980244892285,,0.0,1.4,drop,deadline_miss,
task_114_0,dev_114,offload,14.132100000000001,14.132100000000001,,,3.1999999999996476,0.0,3.1960261080519228,,0.0,1.8000000000000003,drop,deadline_miss,
task_60_0,dev_60,offload,14.1577,14.1577,,,7.1000000000012164,0.0,7.062734226749422,,0.0,2.7,drop,deadline_miss,
task_104_1,dev_104,offload,14.3168,14.3168,,,12.49999999999929,0.0,12.540934567811114,,0.0,1.3000000000000003,drop,deadline_miss,
