index,reward
0,-12.549030070227271
1,-11.88288265080235
2,-12.660791674885987
3,-11.42905209690494
4,-12.347857515243332
5,-13.443801765890303
6,-13.054084375560999
7,-11.2848144314282
8,-52.557230687286726
9,-12.723282291284619
10,-15.07734647003142
11,-11.01549602755334
12,-14.15635590160426
13,-13.470702109074589
14,-10.120143880861939
15,-15.386094459121132
16,-11.561418450082137
17,-12.106812020545547
18,-12.425810330713308
19,-13.98325322061275
20,-13.924516702493207
21,-11.20513118268477
22,-11.925653761825442
23,-12.661205905674471
24,-11.987154250718282
25,-12.999006364714253
26,-11.077269576546945
27,-11.301732095627889
28,-10.348631145384914
29,-13.524528422823542
30,-12.256370822394375
31,-14.2739798556773
32,-11.425251957153522
33,-12.007647720112054
34,-12.657704249181181
35,-13.682359287009934
36,-10.746181196065606
37,-46.432185614193514
38,-13.263093408760538
39,-12.291737583252484
40,-13.57331281264267
41,-13.049383812908756
42,-13.398392530855784
43,-13.30766637849162
44,-10.742972949924223
45,-13.188893922192939
46,-12.401771346260483
47,-12.611444743746599
48,-14.273427234430285
49,-8.200474511165027
50,-11.050486688701685
51,-12.917130818690103
52,-10.91801974095137
53,-11.992209557226273
54,-52.07828301924218
55,-13.42863369072073
56,-10.595401905895448
57,-11.147465928231798
58,-14.050388111801336
59,-13.562456917008742
60,-9.278536421189536
61,-10.760893666699967
62,-11.712052539743752
63,-8.865261847697978
64,-13.002359556887823
65,-11.961531843557145
66,-10.751118303779746
67,-11.66179826511629
68,-12.745020678301309
69,-12.639533411541976
70,-13.679562609954257
71,-11.023967730127683
72,-12.551146989566966
73,-12.446474816988465
74,-12.318846295883551
75,-12.974908404596984
76,-12.897845569599154
77,-11.812652573047144
78,-11.288214014651231
79,-11.08276490690154
80,-12.598396294957626
81,-12.31690455430799
82,-13.452092724124896
83,-15.253793570329151
84,-10.840646479214868
85,-12.404187799331666
86,-12.873488261157888
87,-13.23607668059241
88,-14.235105774666325
89,-14.440070050456196
90,-10.825334686593456
91,-13.121986024556685
92,-13.711540754736285
93,-14.91162563601998
94,-40.76371031755634
95,-13.266902362663627
96,-10.966572618580969
97,-12.999761218339984
98,-12.549228742421105
99,-11.578752054723944
100,-10.686897072352961
101,-9.438886350113851
102,-13.787367596756363
103,-40.999176870511874
104,-10.626786809272641
105,-11.74179565197091
106,-52.2538940325463
107,-12.600855653082963
108,-10.549962895966303
109,-13.81414204541048
110,-10.898502148952224
111,-12.214265713814193
112,-11.774030034699779
113,-13.335932777941133
114,-11.141665327202864
115,-15.552873683096744
116,-11.75941636668554
117,-44.26278805114589
118,-12.68744184947519
119,-14.418839394378356
120,-10.862798305330152
121,-12.171591162910296
122,-10.191995434747328
123,-11.283202549878792
124,-10.65606919709111
125,-45.30765578231743
126,-14.552283486987518
127,-11.335656665059915
128,-8.72040713626652
129,-11.743871567539852
130,-10.718256410298018
131,-47.183826127907146
132,-12.269685054336612
133,-12.845631382112012
134,-14.313001018114765
135,-11.399865733038506
136,-11.609356591450025
137,-11.129281123189054
138,-12.611134272307666
139,-12.009195603396442
140,-57.64769574828482
141,-11.295390643154601
