index,reward
0,-12.938147281707186
1,-12.660791674885987
2,-12.1378305215192
3,-13.86363999575083
4,-14.821139053814857
5,-14.582110966314161
6,-12.425810330713308
7,-11.925653761825442
8,-11.583656466893666
9,-11.987154250718282
10,-12.999006364714253
11,-10.348631145384914
12,-12.133794714186298
13,-12.368779982371063
14,-12.657704249181181
15,-14.093858814438805
16,-11.069374615496152
17,-12.722418858289023
18,-13.263093408760538
19,-12.291737583252484
20,-13.981532746857487
21,-13.801351704716108
22,-13.30766637849162
23,-13.195484712421154
24,-12.990736314987098
25,-14.269449547272359
26,-13.42863369072073
27,-10.914060609832154
28,-11.482728061411702
29,-14.472956175314158
30,-10.760893666699967
31,-8.865261847697978
32,-12.703332267963791
33,-12.002288725411658
34,-13.535409557575809
35,-13.423380444815898
36,-11.023967730127683
37,-12.551146989566966
38,-12.974908404596984
39,-12.157547538683557
40,-11.288214014651231
41,-11.416081144703089
42,-13.85666694139181
43,-10.840646479214868
44,-14.235105774666325
45,-10.825334686593456
46,-13.121986024556685
47,-13.711540754736285
48,-14.91162563601998
49,-10.966572618580969
50,-12.549228742421105
51,-11.578752054723944
52,-11.74179565197091
53,-14.317566964917688
54,-11.141665327202864
55,-11.773901621604805
56,-13.702515108185326
57,-10.718256410298018
58,-12.928368359046557
59,-11.194968115270632
60,-14.313001018114765
61,-12.72385482422923
62,-12.009195603396442
63,-10.63580578807988
64,-14.013480892130232
65,-14.35807766195266
66,-11.856470129502483
67,-13.863924085599642
68,-12.655307742696618
69,-11.771281153932755
70,-11.295438143165814
71,-13.024498249642047
72,-11.131471874099377
73,-12.842327681956064
74,-10.075994433393374
75,-12.44911001394619
76,-11.048907579485604
77,-13.797422104957043
78,-14.310415512922937
79,-9.935462969747174
80,-12.756048162176752
81,-12.575833914217567
82,-16.38522939823926
83,-11.839852638402629
84,-9.846181152409212
85,-13.664277368774293
86,-12.010961494398222
87,-13.39878227412069
88,-11.114560750363
89,-10.98295936844026
90,-14.483938490964489
91,-11.834798516203735
92,-13.296161919069222
93,-10.29317752059042
94,-14.27250580170288
95,-13.877887153013988
96,-12.167906954899905
97,-11.858299103199267
98,-13.625016594033902
99,-12.479135663784263
100,-11.197761567872414
101,-11.135835371369346
102,-14.753679952019548
103,-12.657746105040237
104,-13.182636644252433
105,-11.688283580096588
106,-10.917455036667564
107,-13.898579044531553
108,-13.21737304019595
109,-12.285492825485559
110,-11.18540405626663
111,-12.67762557615799
112,-10.772164605995386
113,-13.344986253657314
114,-13.548476228361032
115,-12.611780062110695
116,-10.973178320789767
117,-10.52585183077199
118,-10.403657873006576
119,-13.047444453569831
120,-13.523234751285736
121,-12.993114384592058
122,-14.14733386063906
123,-13.138565392972053
124,-11.117389028900421
125,-14.472057604685933
126,-15.036730717523549
127,-14.168615093197563
128,-13.43062926869782
129,-13.989650271551781
130,-13.992507248360038
131,-13.413122608154877
132,-11.452270695631203
133,-11.900592895372652
134,-12.282635471116807
135,-13.948831969005239
136,-13.077623717503073
137,-13.168847653056035
138,-11.58797563326304
139,-12.128227032817604
140,-15.225100185523083
141,-12.566479998575293
142,-11.874934656961505
143,-11.31551945269938
144,-15.438733408235615
145,-12.095375373969826
146,-11.14332168763927
147,-12.519156147072904
148,-13.228050656316684
149,-14.22624697194567
150,-12.643215215779668
151,-12.248777921322906
152,-11.548445830741079
153,-13.780134832986723
154,-12.630881303566627
155,-13.484392983880099
156,-11.745078628077861
157,-10.313613433629245
158,-10.991176592400455
159,-12.200485217465296
160,-12.44539869161757
161,-12.676028944914604
162,-12.391275780135583
163,-12.349803980381884
164,-10.369666491163434
165,-12.097412134565587
166,-14.334191484665888
167,-11.275206841786785
168,-13.882135219199611
169,-10.880099577359708
170,-12.332234076962443
171,-12.983381187981456
172,-13.433764783909627
173,-13.097243131712725
174,-13.359760636920425
175,-12.785342787058253
176,-11.503658095532517
177,-13.545927849610981
178,-13.638369604495567
179,-12.216382943363973
180,-12.469437025296143
181,-13.975470995378311
182,-13.785710865544385
183,-13.545091788264651
184,-13.435735624248778
185,-12.90879745174687
186,-14.261015789991458
187,-13.90979419496874
188,-13.257856950656652
189,-12.1194377662552
190,-11.520075438345016
191,-13.651156674519262
192,-12.452808746566886
193,-14.926134802556916
194,-12.869978298055281
195,-14.678011178197329
196,-12.489883811832238
197,-12.785244216979725
198,-12.11027444405639
199,-11.768284747106694
200,-14.372057712680087
201,-10.630046095136784
202,-13.930032754256233
203,-11.530806777058785
204,-14.257401382026776
205,-13.818808084420793
206,-14.420364642609279
207,-13.83741200285854
208,-14.779095323391003
209,-14.151995272438358
210,-13.307200697525925
211,-12.311465302028138
212,-13.387654040613235
213,-12.769229116341021
214,-14.48615331249185
215,-13.857643913713373
216,-13.225222313792209
217,-13.465192632571446
218,-12.155591878298205
219,-11.469974128896308
220,-11.758524179134673
221,-12.884197189738837
222,-10.824692838068257
223,-14.174975083525103
224,-13.107697948708891
225,-12.052786501519096
226,-13.682691513088916
227,-11.812525466550447
228,-9.888006191358775
229,-11.089521233459292
230,-12.71834437091253
231,-14.578657577053509
232,-12.624240162637244
233,-14.59347542244332
234,-12.996332005071189
235,-9.18547568512472
236,-12.058275573723998
237,-12.186745475008014
238,-13.225188327113164
239,-12.110637972697347
240,-11.938208863711626
241,-13.118528004349576
